Chiave;Codice_Fiscale;Identificativo_PAI
205;;
206;;
207;;
208;;
209;;
210;;
211;;
212;;
213;;
214;;
215;;
216;;
217;;
218;;
219;;
220;;
221;;
222;;
223;;
224;;
225;;
226;;
227;HHHRNN99H99H9999;
228;;
229;;
230;;
231;RSSHRZ99999H949W;
232;HNTHR999H99H909X;
233;HH9HHN99949H999S;
234;9HH9NH49R99H9099;
235;SHH9HH999999999N;
236;H9NHRS99H94H0949;
237;9H9HRH99P99H999N;
238;PRHPTR99999H909K;
239;;
240;;
241;;
242;9HTSHN99H49H9999;
243;9HTHTN49H099999J;
244;;
245;;
246;;
247;;
248;;
249;;
250;R9HHRH99H99H900S;
251;HHN9NH99R9994909;
252;;
253;;
254;;
255;HHHHRZ99P99H9999;
256;9THHHH40H99H999H;
257;HSSRTH99H44H9999;
258;9SHSHH99999Z999J;
259;HSH9HH499099999H;
260;;
261;;
262;;
263;9RZS9T49R99H999K;
264;HRTHHN99H9099999;
265;PHHRN999999H490S;
266;;
267;;
268;;
269;NH9HNN99H909999P;
270;HSR9NT99H999999H;
271;;
272;;
273;;
274;;
275;;
276;;
277;;
278;;
279;;
280;HHHRRT94999H999H;
281;HHHSRN99S499999T;
282;HNHNNH99H99H999H;
283;HSHHHH94T99H994H;
284;HHHNHR99T9999999;
285;SHHHHH90S9999999;
286;;
287;;
288;;
289;HHSHHH94T44H9999;
290;HRHRN999H99H994R;
291;HHHH9H99T09H499Y;
292;;
293;;
294;;
295;;
296;;
297;;
298;;
299;;
300;;
301;9NRSHN49944H949Z;
302;;
303;;
304;;
305;99HHTR999999999Y;
306;;
307;;
308;;
309;;
310;;
311;;
312;;
313;;
314;;
315;HHNHNH99R09H099K;
316;9NTHH999T999999H;
317;;
318;;
319;;
320;99HHTR999999999Y;
321;99H9HT49H99Z9999;
322;SNHHHN99999Z999W;
323;HNHHN999T999999T;
324;;
325;;
326;;
327;HHH9NH999999999W;
328;;
329;;
330;;
331;RNH9NH99H99H9999;
332;PHNHHH99H999099W;
333;HRTHRN49H99H999N;
334;HRHHHN99994H999X;
335;HNNSNH49T49H909H;
336;HH9HNN99H99H999H;
337;RNH9NH99H99H9999;
338;HRTHRN49H99H999N;
339;HRHHHN99994H999X;
340;HNNSNH49T49H909H;
341;9R9HNN99S99H990S;
342;;
343;;
344;;
345;HHHRRT49T94H999J;
346;SRHHS999H99H990H;
347;HNNSNH49T49H909H;
348;HRNHRH90H99H909H;
349;HSRHST94H9099999;
350;;
351;;
352;;
353;9HZNHR99H999999H;
354;HHPSHH99H909999J;
355;NTHHH994H49H999J;
